"primary_spa_name","primary_spa_city","competitor_rank","competitor_name","competitor_review_count","competitor_star_rating","competitor_distance_miles","competitor_gbp_url"
"KAYO Aesthetics","Fort Worth","1","SKINTECH SPA - Fort Worth","745","4.6","0.47","https://www.google.com/maps/search/?api=1&query=SKINTECH%20SPA%20-%20Fort%20Worth&query_place_id=ChIJbbejSVZtToYRABT0etPH5-E"
"KAYO Aesthetics","Fort Worth","2","A Nurses Touch Skin Care & Med Spa","604","4.9","0.61","https://www.google.com/maps/search/?api=1&query=A%20Nurses%20Touch%20Skin%20Care%20%26%20Med%20Spa&query_place_id=ChIJq-aKIIFyToYRC3FDx_Vc1jU"
"KAYO Aesthetics","Fort Worth","3","Kalos Medical Spa at Kirby Plastic Surgery","351","5.0","1.24","https://www.google.com/maps/search/?api=1&query=Kalos%20Medical%20Spa%20at%20Kirby%20Plastic%20Surgery&query_place_id=ChIJp14MFC5zToYRdaad_Mu9UII"
"Restore Hyper Wellness","Westport","1","Lil Brit of Wax and Facials","42","5.0","7.99","https://www.google.com/maps/search/?api=1&query=Lil%20Brit%20of%20Wax%20and%20Facials&query_place_id=ChIJIT-eQc5x54gR_q2TSGthy1Q"
"Dallas Pro Aesthetics","Dallas","1","NakedMD Med Spa Dallas","582","4.9","3.44","https://www.google.com/maps/search/?api=1&query=NakedMD%20Med%20Spa%20Dallas&query_place_id=ChIJj2R7CNAhTIYR-jVvd4jqwYQ"
"Dallas Pro Aesthetics","Dallas","2","OMNI SCULPT MD: Med Spa","463","5.0","4.42","https://www.google.com/maps/search/?api=1&query=OMNI%20SCULPT%20MD%3A%20Med%20Spa&query_place_id=ChIJeXuQkfShToYRv2GPVWSAB98"
"Dallas Pro Aesthetics","Dallas","3","SkinSpaMED","421","4.9","0.3","https://www.google.com/maps/search/?api=1&query=SkinSpaMED&query_place_id=ChIJw2ZFgt4gTIYRESSpN1nY-2I"
"Cosmetic And Laser Center Botox Clinic","Boston","1","Skin Spa New York - Back Bay","381","4.8","1.79","https://www.google.com/maps/search/?api=1&query=Skin%20Spa%20New%20York%20-%20Back%20Bay&query_place_id=ChIJo9Y9lw9644kRR5soqeEBYyk"
"Cosmetic And Laser Center Botox Clinic","Boston","2","Skin Spa New York North Station","231","4.9","1.11","https://www.google.com/maps/search/?api=1&query=Skin%20Spa%20New%20York%20North%20Station&query_place_id=ChIJt9-1WaNx44kRW_oKLlcxNv4"
"Cosmetic And Laser Center Botox Clinic","Boston","3","Restore Hyper Wellness","188","4.9","3.23","https://www.google.com/maps/search/?api=1&query=Restore%20Hyper%20Wellness&query_place_id=ChIJ_3lfJtlw44kRhQUM0cH7zqc"
"Snug Aesthetics","Fort Worth","1","It's A Secret Med Spa","308","4.7","2.35","https://www.google.com/maps/search/?api=1&query=It's%20A%20Secret%20Med%20Spa&query_place_id=ChIJ_wc3yzRzToYRKgq7xXuE7x8"
"Snug Aesthetics","Fort Worth","2","Tina Torres Cosmetics","135","4.9","3.01","https://www.google.com/maps/search/?api=1&query=Tina%20Torres%20Cosmetics&query_place_id=ChIJxwt82kdzToYRizTFX0vGphU"
"Snug Aesthetics","Fort Worth","3","Bougie Aesthetics","111","4.8","2.35","https://www.google.com/maps/search/?api=1&query=Bougie%20Aesthetics&query_place_id=ChIJWXF8qTPZTYYROcA-rVQYU-8"
"InjectCo MedSpa Fort Worth","Fort Worth","1","Vitalyc Medspa","383","4.9","1.58","https://www.google.com/maps/search/?api=1&query=Vitalyc%20Medspa&query_place_id=ChIJRf3MEfRzToYR5MtfLITGIXY"
"InjectCo MedSpa Fort Worth","Fort Worth","2","Kalos Medical Spa at Kirby Plastic Surgery","351","5.0","1.46","https://www.google.com/maps/search/?api=1&query=Kalos%20Medical%20Spa%20at%20Kirby%20Plastic%20Surgery&query_place_id=ChIJp14MFC5zToYRdaad_Mu9UII"
"InjectCo MedSpa Fort Worth","Fort Worth","3","Beverly Hills Rejuvenation Center","198","4.7","0.14","https://www.google.com/maps/search/?api=1&query=Beverly%20Hills%20Rejuvenation%20Center&query_place_id=ChIJq19dokZzToYRhpLzfU31xSs"
"Skin Care Fort Worth","Fort Worth","1","Kalos Medical Spa at Kirby Plastic Surgery","351","5.0","1.6","https://www.google.com/maps/search/?api=1&query=Kalos%20Medical%20Spa%20at%20Kirby%20Plastic%20Surgery&query_place_id=ChIJp14MFC5zToYRdaad_Mu9UII"
